Sport of Interest,Skill Level,Age Range,Location,Availability,Preferred Playing Style,Fitness Level,Gender,Interests and Hobbies,Rating
BasketBall,Intermediate,20,NYC,Weekends,Competitive,Fit,Male,Watching NBA games,100
Soccer,Beginner,20,Los Angeles,Evenings,Casual,Average,Female,Running,200
Tennis,Advanced,20,London,Weekdays,Competitive,Very Fit,Male,Playing guitar,800
BasketBall,Intermediate,21,Chicago,Evenings,Competitive,Average,Female,Painting,1000
Soccer,Beginner,22,Sydney,Weekends,Casual,Fit,Male,Reading Sports Blog,2000
Tennis,Advanced,22,Paris,Evenings,Competitive,Very Fit,Female,Reading Sports Blog,2800
Badminton,Intermediate,22,India,Weekdays,Casual,Average,Male,Traveling,8000
Badminton,Intermediate,22,India,Weekdays,Casual,Fit,Male,Playing Chess,3000
Badminton,Intermediate,22,India,Weekdays,Casual,Fit,Male,Playing Chess,5000
Badminton,Intermediate,22,India,Weekdays,Casual,Fit,Male,Playing Chess,3000
Badminton,Intermediate,23,India,Weekdays,Casual,Fit,Male,Playing Chess,4000
Badminton,Intermediate,24,India,Weekdays,Casual,Fit,Male,Playing Chess,7000
Badminton,Intermediate,25,India,Weekdays,Casual,Fit,Male,Playing Chess,6000
Badminton,Intermediate,26,India,Weekdays,Casual,Fit,Male,Playing Chess,3000
Badminton,Intermediate,24,India,Weekdays,Casual,Fit,Male,Playing Chess,100
Badminton,Intermediate,23,India,Weekdays,Casual,Fit,Male,Playing Chess,200
Badminton,Intermediate,24,India,Weekdays,Competitive,Fit,Male,Painting,300
Tennis,Intermediate,22,India,Weekdays,Competitive,Fit,Male,Painting,400
Tennis,Intermediate,21,India,Weekdays,Competitive,Fit,Male,Painting,500
Tennis,Intermediate,20,India,Weekdays,Competitive,Fit,Male,Painting,600
Tennis,Intermediate,30,Sydney,Weekdays,Competitive,Fit,Male,Painting,400
Tennis,Intermediate,30,Sydney,Evenings,Competitive,Very Fit,Female,Painting,200
Tennis,Beginner,30,Sydney,Evenings,Competitive,Very Fit,Female,Painting,400
Tennis,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Painting,200
Tennis,Beginner,24,Sydney,Evenings,Competitive,Very Fit,Female,Painting,400
Tennis,Beginner,27,Sydney,Evenings,Competitive,Very Fit,Female,Painting,700
Tennis,Beginner,29,Sydney,Evenings,Competitive,Very Fit,Female,Painting,600
Tennis,Beginner,25,Sydney,Evenings,Competitive,Very Fit,Female,Painting,800
Soccer,Beginner,26,Sydney,Evenings,Competitive,Very Fit,Female,Painting,900
Soccer,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Painting,1000
Soccer,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Painting,4000
Soccer,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Painting,6000
Soccer,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Watching NBA games,7000
Soccer,Beginner,23,Sydney,Evenings,Competitive,Very Fit,Female,Watching NBA games,3000
Soccer,Beginner,23,NYC,Weekends,Competitive,Average,Female,Watching NBA games,6000
Soccer,Beginner,23,NYC,Weekends,Competitive,Average,Female,Watching NBA games,2000
Soccer,Advanced,25,NYC,Weekends,Competitive,Average,Female,Watching NBA games,1000
Soccer,Advanced,26,NYC,Weekends,Competitive,Average,Male,Watching NBA games,2000
Soccer,Advanced,27,NYC,Weekends,Casual,Average,Male,Watching NBA games,10000
Soccer,Advanced,26,NYC,Weekends,Casual,Average,Male,Watching NBA games,300
Soccer,Advanced,27,NYC,Weekends,Casual,Average,Male,Watching NBA games,500
Soccer,Advanced,26,NYC,Weekends,Casual,Average,Male,Watching NBA games,300
Soccer,Advanced,27,NYC,Weekends,Casual,Average,Male,Watching NBA games,500
Soccer,Advanced,26,NYC,Weekends,Casual,Average,Male,Watching NBA games,7000
Soccer,Advanced,27,NYC,Weekends,Casual,Average,Male,Watching NBA games,8000
Soccer,Advanced,27,NYC,Weekends,Casual,Average,Male,Watching NBA games,9000
Soccer,Advanced,25,NYC,Weekends,Casual,Average,Male,Watching NBA games,400
Soccer,Advanced,26,NYC,Weekends,Casual,Average,Female,Watching NBA games,3000
Soccer,Advanced,26,NYC,Weekends,Competitive,Fit,Female,Watching NBA games,5000
Badminton,Advanced,27,NYC,Weekends,Competitive,Fit,Female,Watching NBA games,3000
Badminton,Advanced,28,NYC,Mornings,Competitive,Fit,Female,Playing Chess,5000
Badminton,Advanced,24,NYC,Mornings,Competitive,Fit,Female,Playing Chess,2000
Badminton,Advanced,29,London,Mornings,Competitive,Fit,Female,Playing Chess,4000
Badminton,Advanced,22,London,Mornings,Competitive,Fit,Female,Playing Chess,3000
Badminton,Beginner,22,London,Mornings,Competitive,Fit,Male,Playing Chess,2000
Badminton,Beginner,21,London,Mornings,Competitive,Fit,Male,Playing Chess,4000
Badminton,Beginner,25,London,Mornings,Competitive,Very Fit,Male,Playing Chess,5000
Badminton,Beginner,26,London,Mornings,Competitive,Very Fit,Male,Playing Chess,1000
Badminton,Beginner,26,London,Mornings,Competitive,Very Fit,Male,Playing Chess,200
Badminton,Beginner,24,London,Mornings,Competitive,Very Fit,Male,Playing Chess,6000
Badminton,Beginner,25,London,Mornings,Competitive,Very Fit,Male,Playing Chess,800
Badminton,Beginner,25,London,Mornings,Competitive,Very Fit,Male,Playing Chess,9000
